date,cash
20161109,31.08
20161108,31.145
20161107,31.165
20161104,31.11
20161103,31.115
20161102,31.2
20161101,31.205
20161031,31.21
20161028,31.265
20161027,31.275
20161026,31.205
20161025,31.25
20161024,31.325
20161021,31.265
20161020,31.175
20161019,31.165
20161018,31.3
20161017,31.415
20161014,31.31
20161013,31.39
20161012,31.27
20161011,31.255
20161007,31.12
20161006,31.05
20161005,31.005
20161004,30.99
20161003,30.97
20160930,31.01
20160929,31.005
20160927,31.07
20160926,31.07
20160923,30.97
20160922,31.05
20160921,31.075
20160920,31.015
20160919,31.08
20160914,31.325
20160913,31.345
20160912,31.35
20160910,31.2
20160909,31.15
20160908,30.935
20160907,30.88
20160906,31.065
20160905,31.14
20160902,31.345
20160901,31.38
20160831,31.375
20160830,31.36
20160829,31.435
20160826,31.315
20160825,31.31
20160824,31.4
20160823,31.35
20160822,31.445
20160819,31.26
20160818,31.05
20160817,31.06
20160816,30.925
20160815,30.985
20160812,31.045
20160811,30.96
20160810,30.835
20160809,31.09
20160808,31.16
20160805,31.195
20160804,31.345
20160803,31.39
20160802,31.33
20160801,31.275
20160729,31.57
20160728,31.6
20160727,31.71
20160726,31.75
20160725,31.785
20160722,31.71
20160721,31.7
20160720,31.69
20160719,31.64
20160718,31.65
20160715,31.6
20160714,31.72
20160713,31.835
20160712,31.86
20160711,31.855
20160707,31.945
20160706,32.03
20160705,31.915
20160704,31.85
20160701,31.86
20160630,31.925
20160629,31.985
20160628,32.06
20160627,32.16
20160624,32.07
20160623,31.83
20160622,31.87
20160621,31.905
20160620,31.905
20160617,32.02
20160616,32.03
20160615,32.08
20160614,32.06
20160613,32.06
20160608,31.87
20160607,31.975
20160606,32.04
20160604,32.13
20160603,32.25
20160602,32.24
20160601,32.26
20160531,32.265
20160530,32.275
20160527,32.17
20160526,32.22
20160525,32.29
20160524,32.34
20160523,32.305
20160520,32.39
20160519,32.42
20160518,32.335
20160517,32.255
20160516,32.34
20160513,32.26
20160512,32.185
20160511,32.17
20160510,32.18
